plume_index,time_index,Distance,Velocity,Area,Threshold,Sample Name,Sample ID
0,0,0,0.0,0.0,200,G3,YG067
0,1,0,0.0,0.0,200,G3,YG067
0,2,90,90.0,2776.0,200,G3,YG067
0,3,134,44.0,8004.0,200,G3,YG067
0,4,156,22.0,12335.0,200,G3,YG067
0,5,176,20.0,15584.0,200,G3,YG067
0,6,190,14.0,16039.0,200,G3,YG067
0,7,200,10.0,14235.0,200,G3,YG067
0,8,206,6.0,11958.0,200,G3,YG067
0,9,210,4.0,9045.0,200,G3,YG067
0,10,212,2.0,5755.0,200,G3,YG067
0,11,212,0.0,2437.0,200,G3,YG067
0,12,212,0.0,6.0,200,G3,YG067
0,13,212,0.0,4.0,200,G3,YG067
0,14,212,0.0,3.0,200,G3,YG067
0,15,212,0.0,1.0,200,G3,YG067
0,16,212,0.0,0.0,200,G3,YG067
0,17,212,0.0,0.0,200,G3,YG067
0,18,212,0.0,0.0,200,G3,YG067
0,19,212,0.0,0.0,200,G3,YG067
0,20,212,0.0,0.0,200,G3,YG067
0,21,212,0.0,0.0,200,G3,YG067
0,22,212,0.0,0.0,200,G3,YG067
0,23,212,0.0,0.0,200,G3,YG067
0,24,212,0.0,0.0,200,G3,YG067
0,25,212,0.0,0.0,200,G3,YG067
0,26,212,0.0,0.0,200,G3,YG067
0,27,212,0.0,0.0,200,G3,YG067
0,28,212,0.0,0.0,200,G3,YG067
0,29,212,0.0,0.0,200,G3,YG067
0,30,212,0.0,0.0,200,G3,YG067
0,31,212,0.0,0.0,200,G3,YG067
0,32,212,0.0,0.0,200,G3,YG067
0,33,212,0.0,0.0,200,G3,YG067
0,34,212,0.0,0.0,200,G3,YG067
0,35,212,0.0,0.0,200,G3,YG067
0,36,212,0.0,0.0,200,G3,YG067
0,37,212,0.0,0.0,200,G3,YG067
0,38,212,0.0,0.0,200,G3,YG067
0,39,212,0.0,0.0,200,G3,YG067
0,40,212,0.0,0.0,200,G3,YG067
0,41,212,0.0,0.0,200,G3,YG067
0,42,212,0.0,0.0,200,G3,YG067
0,43,212,0.0,0.0,200,G3,YG067
0,44,212,0.0,0.0,200,G3,YG067
0,45,212,0.0,0.0,200,G3,YG067
0,46,212,0.0,0.0,200,G3,YG067
0,47,212,0.0,0.0,200,G3,YG067
0,48,212,0.0,0.0,200,G3,YG067
0,49,212,0.0,0.0,200,G3,YG067
0,50,212,0.0,0.0,200,G3,YG067
0,51,212,0.0,0.0,200,G3,YG067
0,52,212,0.0,0.0,200,G3,YG067
0,53,212,0.0,0.0,200,G3,YG067
0,54,212,0.0,0.0,200,G3,YG067
0,55,212,0.0,0.0,200,G3,YG067
0,56,212,0.0,0.0,200,G3,YG067
0,57,212,0.0,0.0,200,G3,YG067
0,58,212,0.0,0.0,200,G3,YG067
0,59,212,0.0,0.0,200,G3,YG067
0,60,212,0.0,0.0,200,G3,YG067
0,61,212,0.0,0.0,200,G3,YG067
0,62,212,0.0,0.0,200,G3,YG067
0,63,212,0.0,0.0,200,G3,YG067
0,64,212,0.0,0.0,200,G3,YG067
0,65,212,0.0,0.0,200,G3,YG067
0,66,212,0.0,0.0,200,G3,YG067
0,67,212,0.0,0.0,200,G3,YG067
0,68,212,0.0,0.0,200,G3,YG067
0,69,212,0.0,0.0,200,G3,YG067
0,70,212,0.0,0.0,200,G3,YG067
0,71,212,0.0,0.0,200,G3,YG067
0,72,212,0.0,0.0,200,G3,YG067
0,73,212,0.0,0.0,200,G3,YG067
0,74,212,0.0,0.0,200,G3,YG067
0,75,212,0.0,0.0,200,G3,YG067
0,76,212,0.0,0.0,200,G3,YG067
0,77,212,0.0,0.0,200,G3,YG067
0,78,212,0.0,0.0,200,G3,YG067
0,79,212,0.0,0.0,200,G3,YG067
0,80,212,0.0,0.0,200,G3,YG067
0,81,212,0.0,0.0,200,G3,YG067
0,82,212,0.0,0.0,200,G3,YG067
0,83,212,0.0,0.0,200,G3,YG067
0,84,212,0.0,0.0,200,G3,YG067
0,85,212,0.0,0.0,200,G3,YG067
0,86,212,0.0,0.0,200,G3,YG067
0,87,212,0.0,0.0,200,G3,YG067
0,88,212,0.0,0.0,200,G3,YG067
0,89,212,0.0,0.0,200,G3,YG067
0,90,212,0.0,0.0,200,G3,YG067
0,91,212,0.0,0.0,200,G3,YG067
0,92,212,0.0,0.0,200,G3,YG067
0,93,212,0.0,0.0,200,G3,YG067
0,94,212,0.0,0.0,200,G3,YG067
0,95,212,0.0,0.0,200,G3,YG067
0,96,212,0.0,0.0,200,G3,YG067
0,97,212,0.0,0.0,200,G3,YG067
0,98,212,0.0,0.0,200,G3,YG067
0,99,212,0.0,0.0,200,G3,YG067
0,100,212,0.0,0.0,200,G3,YG067
0,101,212,0.0,0.0,200,G3,YG067
0,102,212,0.0,0.0,200,G3,YG067
0,103,212,0.0,0.0,200,G3,YG067
0,104,212,0.0,0.0,200,G3,YG067
0,105,212,0.0,0.0,200,G3,YG067
0,106,212,0.0,0.0,200,G3,YG067
0,107,212,0.0,0.0,200,G3,YG067
0,108,212,0.0,0.0,200,G3,YG067
0,109,212,0.0,0.0,200,G3,YG067
0,110,212,0.0,0.0,200,G3,YG067
0,111,212,0.0,0.0,200,G3,YG067
0,112,212,0.0,0.0,200,G3,YG067
0,113,212,0.0,0.0,200,G3,YG067
0,114,212,0.0,0.0,200,G3,YG067
0,115,212,0.0,0.0,200,G3,YG067
0,116,212,0.0,0.0,200,G3,YG067
0,117,212,0.0,0.0,200,G3,YG067
0,118,212,0.0,0.0,200,G3,YG067
0,119,212,0.0,0.0,200,G3,YG067
0,120,212,0.0,0.0,200,G3,YG067
0,121,212,0.0,0.0,200,G3,YG067
0,122,212,0.0,0.0,200,G3,YG067
0,123,212,0.0,0.0,200,G3,YG067
0,124,212,0.0,0.0,200,G3,YG067
0,125,212,0.0,0.0,200,G3,YG067
0,126,212,0.0,0.0,200,G3,YG067
0,127,212,0.0,0.0,200,G3,YG067
1,0,0,0.0,0.0,200,G3,YG067
1,1,0,0.0,0.0,200,G3,YG067
1,2,84,84.0,2853.0,200,G3,YG067
1,3,129,45.0,7449.0,200,G3,YG067
1,4,152,23.0,11546.0,200,G3,YG067
1,5,173,21.0,14500.0,200,G3,YG067
1,6,189,16.0,14800.0,200,G3,YG067
1,7,199,10.0,12977.0,200,G3,YG067
1,8,204,5.0,10572.0,200,G3,YG067
1,9,207,3.0,7578.0,200,G3,YG067
1,10,208,1.0,4343.0,200,G3,YG067
1,11,208,0.0,1165.0,200,G3,YG067
1,12,208,0.0,10.0,200,G3,YG067
1,13,208,0.0,7.0,200,G3,YG067
1,14,208,0.0,4.0,200,G3,YG067
1,15,208,0.0,3.0,200,G3,YG067
1,16,208,0.0,3.0,200,G3,YG067
1,17,208,0.0,2.0,200,G3,YG067
1,18,208,0.0,0.0,200,G3,YG067
1,19,208,0.0,0.0,200,G3,YG067
1,20,208,0.0,0.0,200,G3,YG067
1,21,208,0.0,0.0,200,G3,YG067
1,22,208,0.0,0.0,200,G3,YG067
1,23,208,0.0,0.0,200,G3,YG067
1,24,208,0.0,0.0,200,G3,YG067
1,25,208,0.0,0.0,200,G3,YG067
1,26,208,0.0,0.0,200,G3,YG067
1,27,208,0.0,0.0,200,G3,YG067
1,28,208,0.0,0.0,200,G3,YG067
1,29,208,0.0,0.0,200,G3,YG067
1,30,208,0.0,0.0,200,G3,YG067
1,31,208,0.0,0.0,200,G3,YG067
1,32,208,0.0,0.0,200,G3,YG067
1,33,208,0.0,0.0,200,G3,YG067
1,34,208,0.0,0.0,200,G3,YG067
1,35,208,0.0,0.0,200,G3,YG067
1,36,208,0.0,0.0,200,G3,YG067
1,37,208,0.0,0.0,200,G3,YG067
1,38,208,0.0,0.0,200,G3,YG067
1,39,208,0.0,0.0,200,G3,YG067
