plume_index,time_index,Distance,Velocity,Area,Threshold,Sample Name,Sample ID
0,0,0,0.0,0.0,200,C-G6,YG063
0,1,0,0.0,0.0,200,C-G6,YG063
0,2,44,44.0,877.0,200,C-G6,YG063
0,3,92,48.0,3278.0,200,C-G6,YG063
0,4,136,44.0,8774.0,200,C-G6,YG063
0,5,163,27.0,13412.0,200,C-G6,YG063
0,6,183,20.0,16793.0,200,C-G6,YG063
0,7,197,14.0,17906.0,200,C-G6,YG063
0,8,205,8.0,16568.0,200,C-G6,YG063
0,9,211,6.0,14549.0,200,C-G6,YG063
0,10,215,4.0,11938.0,200,C-G6,YG063
0,11,218,3.0,8711.0,200,C-G6,YG063
0,12,220,2.0,5101.0,200,C-G6,YG063
0,13,220,0.0,1644.0,200,C-G6,YG063
0,14,220,0.0,0.0,200,C-G6,YG063
0,15,220,0.0,0.0,200,C-G6,YG063
0,16,220,0.0,0.0,200,C-G6,YG063
0,17,220,0.0,0.0,200,C-G6,YG063
0,18,220,0.0,0.0,200,C-G6,YG063
0,19,220,0.0,0.0,200,C-G6,YG063
0,20,220,0.0,0.0,200,C-G6,YG063
0,21,220,0.0,0.0,200,C-G6,YG063
0,22,220,0.0,0.0,200,C-G6,YG063
0,23,220,0.0,0.0,200,C-G6,YG063
0,24,220,0.0,0.0,200,C-G6,YG063
0,25,220,0.0,0.0,200,C-G6,YG063
0,26,220,0.0,0.0,200,C-G6,YG063
0,27,220,0.0,0.0,200,C-G6,YG063
0,28,220,0.0,0.0,200,C-G6,YG063
0,29,220,0.0,0.0,200,C-G6,YG063
0,30,220,0.0,0.0,200,C-G6,YG063
0,31,220,0.0,0.0,200,C-G6,YG063
0,32,220,0.0,0.0,200,C-G6,YG063
0,33,220,0.0,0.0,200,C-G6,YG063
0,34,220,0.0,0.0,200,C-G6,YG063
0,35,220,0.0,0.0,200,C-G6,YG063
0,36,220,0.0,0.0,200,C-G6,YG063
0,37,220,0.0,0.0,200,C-G6,YG063
0,38,220,0.0,0.0,200,C-G6,YG063
0,39,220,0.0,0.0,200,C-G6,YG063
0,40,220,0.0,0.0,200,C-G6,YG063
0,41,220,0.0,0.0,200,C-G6,YG063
0,42,220,0.0,0.0,200,C-G6,YG063
0,43,220,0.0,0.0,200,C-G6,YG063
0,44,220,0.0,0.0,200,C-G6,YG063
0,45,220,0.0,0.0,200,C-G6,YG063
0,46,220,0.0,0.0,200,C-G6,YG063
0,47,220,0.0,0.0,200,C-G6,YG063
0,48,220,0.0,0.0,200,C-G6,YG063
0,49,220,0.0,0.0,200,C-G6,YG063
0,50,220,0.0,0.0,200,C-G6,YG063
0,51,220,0.0,0.0,200,C-G6,YG063
0,52,220,0.0,0.0,200,C-G6,YG063
0,53,220,0.0,0.0,200,C-G6,YG063
0,54,220,0.0,0.0,200,C-G6,YG063
0,55,220,0.0,0.0,200,C-G6,YG063
0,56,220,0.0,0.0,200,C-G6,YG063
0,57,220,0.0,0.0,200,C-G6,YG063
0,58,220,0.0,0.0,200,C-G6,YG063
0,59,220,0.0,0.0,200,C-G6,YG063
0,60,220,0.0,0.0,200,C-G6,YG063
0,61,220,0.0,0.0,200,C-G6,YG063
0,62,220,0.0,0.0,200,C-G6,YG063
0,63,220,0.0,0.0,200,C-G6,YG063
0,64,220,0.0,0.0,200,C-G6,YG063
0,65,220,0.0,0.0,200,C-G6,YG063
0,66,220,0.0,0.0,200,C-G6,YG063
0,67,220,0.0,0.0,200,C-G6,YG063
0,68,220,0.0,0.0,200,C-G6,YG063
0,69,220,0.0,0.0,200,C-G6,YG063
0,70,220,0.0,0.0,200,C-G6,YG063
0,71,220,0.0,0.0,200,C-G6,YG063
0,72,220,0.0,0.0,200,C-G6,YG063
0,73,220,0.0,0.0,200,C-G6,YG063
0,74,220,0.0,0.0,200,C-G6,YG063
0,75,220,0.0,0.0,200,C-G6,YG063
0,76,220,0.0,0.0,200,C-G6,YG063
0,77,220,0.0,0.0,200,C-G6,YG063
0,78,220,0.0,0.0,200,C-G6,YG063
0,79,220,0.0,0.0,200,C-G6,YG063
0,80,220,0.0,0.0,200,C-G6,YG063
0,81,220,0.0,0.0,200,C-G6,YG063
0,82,220,0.0,0.0,200,C-G6,YG063
0,83,220,0.0,0.0,200,C-G6,YG063
0,84,220,0.0,0.0,200,C-G6,YG063
0,85,220,0.0,0.0,200,C-G6,YG063
0,86,220,0.0,0.0,200,C-G6,YG063
0,87,220,0.0,0.0,200,C-G6,YG063
0,88,220,0.0,0.0,200,C-G6,YG063
0,89,220,0.0,0.0,200,C-G6,YG063
0,90,220,0.0,0.0,200,C-G6,YG063
0,91,220,0.0,0.0,200,C-G6,YG063
0,92,220,0.0,0.0,200,C-G6,YG063
0,93,220,0.0,0.0,200,C-G6,YG063
0,94,220,0.0,0.0,200,C-G6,YG063
0,95,220,0.0,0.0,200,C-G6,YG063
0,96,220,0.0,0.0,200,C-G6,YG063
0,97,220,0.0,0.0,200,C-G6,YG063
0,98,220,0.0,0.0,200,C-G6,YG063
0,99,220,0.0,0.0,200,C-G6,YG063
0,100,220,0.0,0.0,200,C-G6,YG063
0,101,220,0.0,0.0,200,C-G6,YG063
0,102,220,0.0,0.0,200,C-G6,YG063
0,103,220,0.0,0.0,200,C-G6,YG063
0,104,220,0.0,0.0,200,C-G6,YG063
0,105,220,0.0,0.0,200,C-G6,YG063
0,106,220,0.0,0.0,200,C-G6,YG063
0,107,220,0.0,0.0,200,C-G6,YG063
0,108,220,0.0,0.0,200,C-G6,YG063
0,109,220,0.0,0.0,200,C-G6,YG063
0,110,220,0.0,0.0,200,C-G6,YG063
0,111,220,0.0,0.0,200,C-G6,YG063
0,112,220,0.0,0.0,200,C-G6,YG063
0,113,220,0.0,0.0,200,C-G6,YG063
0,114,220,0.0,0.0,200,C-G6,YG063
0,115,220,0.0,0.0,200,C-G6,YG063
0,116,220,0.0,0.0,200,C-G6,YG063
0,117,220,0.0,0.0,200,C-G6,YG063
0,118,220,0.0,0.0,200,C-G6,YG063
0,119,220,0.0,0.0,200,C-G6,YG063
0,120,220,0.0,0.0,200,C-G6,YG063
0,121,220,0.0,0.0,200,C-G6,YG063
0,122,220,0.0,0.0,200,C-G6,YG063
0,123,220,0.0,0.0,200,C-G6,YG063
0,124,220,0.0,0.0,200,C-G6,YG063
0,125,220,0.0,0.0,200,C-G6,YG063
0,126,220,0.0,0.0,200,C-G6,YG063
0,127,220,0.0,0.0,200,C-G6,YG063
1,0,0,0.0,0.0,200,C-G6,YG063
1,1,0,0.0,0.0,200,C-G6,YG063
1,2,63,63.0,2123.0,200,C-G6,YG063
1,3,115,52.0,5716.0,200,C-G6,YG063
1,4,143,28.0,10250.0,200,C-G6,YG063
1,5,165,22.0,14249.0,200,C-G6,YG063
1,6,183,18.0,16219.0,200,C-G6,YG063
1,7,195,12.0,14775.0,200,C-G6,YG063
1,8,202,7.0,12776.0,200,C-G6,YG063
1,9,206,4.0,10078.0,200,C-G6,YG063
1,10,208,2.0,6899.0,200,C-G6,YG063
1,11,209,1.0,3604.0,200,C-G6,YG063
1,12,209,0.0,489.0,200,C-G6,YG063
1,13,209,0.0,0.0,200,C-G6,YG063
1,14,209,0.0,0.0,200,C-G6,YG063
1,15,209,0.0,0.0,200,C-G6,YG063
1,16,209,0.0,0.0,200,C-G6,YG063
1,17,209,0.0,0.0,200,C-G6,YG063
1,18,209,0.0,0.0,200,C-G6,YG063
1,19,209,0.0,0.0,200,C-G6,YG063
1,20,209,0.0,0.0,200,C-G6,YG063
1,21,209,0.0,0.0,200,C-G6,YG063
1,22,209,0.0,0.0,200,C-G6,YG063
1,23,209,0.0,0.0,200,C-G6,YG063
1,24,209,0.0,0.0,200,C-G6,YG063
1,25,209,0.0,0.0,200,C-G6,YG063
1,26,209,0.0,0.0,200,C-G6,YG063
1,27,209,0.0,0.0,200,C-G6,YG063
1,28,209,0.0,0.0,200,C-G6,YG063
1,29,209,0.0,0.0,200,C-G6,YG063
1,30,209,0.0,0.0,200,C-G6,YG063
1,31,209,0.0,0.0,200,C-G6,YG063
1,32,209,0.0,0.0,200,C-G6,YG063
1,33,209,0.0,0.0,200,C-G6,YG063
1,34,209,0.0,0.0,200,C-G6,YG063
1,35,209,0.0,0.0,200,C-G6,YG063
1,36,209,0.0,0.0,200,C-G6,YG063
1,37,209,0.0,0.0,200,C-G6,YG063
1,38,209,0.0,0.0,200,C-G6,YG063
1,39,209,0.0,0.0,200,C-G6,YG063
1,40,209,0.0,0.0,200,C-G6,YG063
1,41,209,0.0,0.0,200,C-G6,YG063
1,42,209,0.0,0.0,200,C-G6,YG063
1,43,209,0.0,0.0,200,C-G6,YG063
1,44,209,0.0,0.0,200,C-G6,YG063
